ingredient_key,ndb_no,default_long_desc,default_display_name,common_unit,common_unit_grams,notes
allspice_ground,2001,"Spices, allspice, ground",allspice,teaspoon,2.0,
apple_granny_smith_raw,9502,"Apples, raw, granny smith, with skin",Granny Smith apples (peeled and cored),medium_apple,125.0,Tart firm baking apple; assume ~125g per medium apple after peeling and coring (from ~150g whole)
apricots_dried,9032,"Apricots, dried, sulfured, uncooked",dried apricots,cup,130.0,"Dried apricots, chopped; ~130g per cup"
baking_powder,18369,"Leavening agents, baking powder, double-acting, sodium aluminum sulfate",baking powder,teaspoon,4.0,
baking_soda,18372,"Leavening agents, baking soda",baking soda,teaspoon,4.6,1 tsp ~4.6g; very high sodium use carefully
banana_raw,9040,"Bananas, raw",bananas (sliced),medium_banana,118.0,Medium banana ~118g without peel
blueberries_raw,9050,"Blueberries, raw",blueberries,cup,148.0,Fresh raw blueberries; 1 cup ~148g
bread_crumbs_dry,18079,"Bread crumbs, dry, grated, plain",dry bread crumbs,cup,108.0,Plain dry breadcrumbs; 1/2 cup ~ 54g
butter_salted,1144,"Butter, salted",salted butter,tablespoon,14.2,Salted butter; sodium adds ~130-150mg per tablespoon
butter_unsalted,1145,"Butter, without salt",unsalted butter,tablespoon,14.2,
candied_fruit_mixed,9426,Candied fruit,mixed candied peel,cup,170.0,Mixed candied peel/citron; ~170g per cup
canola_oil,4582,"Oil, canola",canola oil,tablespoon,13.6,Neutral vegetable oil; common in 70/30 butter+oil pie crusts for tenderness
cherries_maraschino_drained,9328,"Maraschino cherries, canned, drained",maraschino cherries,cherry,5.0,1 cherry ~5g
cherries_sour_red_raw,9063,"Cherries, sour, red, raw",sour cherries (pitted),cup,155.0,Pitted sour/tart red cherries; 1 cup pitted ~155g
chocolate_chips_semisweet,19139,"Baking chocolate, MARS SNACKFOOD US, M&M's Semisweet Chocolate Mini Baking Bits",chocolate chips semi-sweet,cup,170,Semisweet chocolate chips; 1 cup ~170g
chocolate_sandwich_cookies,18166,"Cookies, chocolate sandwich, with creme filling, regular",chocolate sandwich cookies,cookie,11.0,
chocolate_semisweet,19080,"Candies, semisweet chocolate",semisweet chocolate,ounce,28.35,
cinnamon_ground,2010,"Spices, cinnamon, ground",ground cinnamon,teaspoon,2.6,
cloves_ground,2011,"Spices, cloves, ground",ground cloves,teaspoon,2.1,
cocoa_powder_unsweetened,19165,"Cocoa, dry powder, unsweetened",unsweetened cocoa powder,tablespoon,5.0,
coconut_flaked_sweetened,12109,"Nuts, coconut meat, dried, sweetened, flaked",sweetened flaked coconut,cup,74.0,
coconut_milk_canned,12118,"Nuts, coconut milk, canned",canned coconut milk,cup,226.0,
coconut_shredded_sweetened,12179,"Nuts, coconut meat, dried (desiccated), sweetened, shredded",sweetened shredded coconut,cup,74.0,USDA shredded sweetened coconut; preferred for macaroons
corn_syrup_light,19350,"Syrups, corn, light",light corn syrup,cup,328.0,
cornstarch,20027,Cornstarch,cornstarch,tablespoon,8.0,Pure starch thickener; gluten-free alternative to flour for pie filling thickening
cranberries_dried_sweetened,9079,"Cranberries, dried, sweetened",dried cranberries,cup,120.0,Sweetened dried cranberries; ~120g per cup
cream_cheese,1017,"Cheese, cream",cream cheese,package_8oz,227.0,Full-fat cream cheese; 1 oz brick = 28g; 8 oz package = 227g
cream_of_tartar,18373,"Leavening agents, cream of tartar",cream of tartar,teaspoon,3.0,Cream of tartar; 1 tsp ~3g
currants_zante_dried,9085,"Currants, zante, dried",currants,cup,145.0,Dried Zante currants; ~145g per cup
dates_medjool,9421,"Dates, medjool",medjool dates,cup,150.0,"Pitted medjool dates, chopped; ~150g per cup"
egg_white_raw,1124,"Egg, white, raw, fresh",egg whites,large_white,33.0,Large egg white ~33g
egg_whole_raw,1123,"Egg, whole, raw, fresh",large egg,large_egg,50.0,Large egg ~50g without shell
egg_yolk_raw,1125,"Egg, yolk, raw, fresh",egg yolks,large_yolk,17.0,Large egg yolk ~17g
figs_dried_uncooked,9094,"Figs, dried, uncooked",dried figs,cup,150,Dried figs uncooked; 1 cup ~150g
flour_ap_white_enriched_bleached,20081,"Wheat flour, white, all-purpose, enriched, bleached",all-purpose enriched white flour,cup,125.0,
flour_cake_white_enriched,20084,"Wheat flour, white, cake, enriched",cake flour,cup,125.0,Home-cook accessible enriched flour; lower protein than AP for tender crust
flour_pastry_white_enriched_bleached,20623,"Wheat flour, white (industrial), 9% protein, bleached, enriched",pastry flour (9% protein),cup,125.0,Lower-protein enriched flour for pie crust; same enrichment as AP
flour_whole_wheat,20080,"Wheat flour, whole-grain",whole wheat flour,cup,120.0,Whole wheat flour; ~120g per cup
ginger_ground,2021,"Spices, ginger, ground",ground ginger,teaspoon,1.8,Ground ginger; ~1.8g per tsp
ginger_root_fresh,11216,"Ginger root, raw",fresh ginger,tablespoon,6.0,Grated/pureed fresh gingerroot; 1 Tbsp ~6g
graham_crackers,18173,"Cookies, graham crackers, plain or honey",graham crackers,cracker,14.0,
half_and_half,1049,"Cream, fluid, half and half",half-and-half,cup,242.0,Half cream half whole milk ~12% milkfat
heavy_cream,1053,"Cream, fluid, heavy whipping",heavy cream,cup,238.0,Heavy whipping cream ~36% milkfat
lemon_juice_raw,9152,"Lemon juice, raw",lemon juice,tablespoon,15.0,
lemon_peel_raw,9156,"Lemon peel, raw",lemon zest,tablespoon,6.0,Fresh lemon zest; 1 Tbsp grated ~6g
margarine_stick_salted,4610,"Margarine, regular, 80% fat, composite, stick, with salt",margarine stick salted,tablespoon,14.2,Regular 80% fat stick margarine with salt; 1 tbsp ~14.2g
milk_buttermilk_whole,1230,"Milk, buttermilk, fluid, whole",whole buttermilk,cup,245.0,
milk_evaporated,1096,"Milk, canned, evaporated, with added vitamin D",evaporated milk,cup,252.0,
milk_whole,1077,"Milk, whole, 3.25% milkfat, with added vitamin D",whole milk,cup,244.0,Whole milk 3.25% milkfat
molasses,19304,Molasses,molasses,cup,337.0,1 cup ~337g; 1 Tbsp ~20g
nutmeg_ground,2025,"Spices, nutmeg, ground",ground nutmeg,teaspoon,2.2,Ground nutmeg; ~2.2g per tsp
oats_rolled_old_fashioned_dry,8120,"Cereals, oats, regular and quick, not fortified, dry",rolled oats (regular/quick oats),cup,100.0,Dry rolled oats (not instant); 1 cup ~ 100g
peach_yellow_raw,9236,"Peaches, yellow, raw",peaches,cup,154.0,Fresh peeled peach slices; ~154g per cup sliced
peanut_butter_smooth,16098,"Peanut butter, smooth style, with salt",smooth peanut butter,cup,264.0,"Smooth style, with salt (USDA 16098)"
pecans_raw,12142,"Nuts, pecans",pecan halves,cup,99.0,
pie_filling_apple_canned,19312,"Pie fillings, apple, canned","apple pie filling, canned",can_21oz,595.0,
pineapple_canned_juice_pack_drained,9354,"Pineapple, canned, juice pack, drained",pineapple slices,slice,40.0,7 slices ~280g; 20oz can drained ~340g
puff_pastry_baked,18211,"Puff pastry, frozen, ready-to-bake, baked",puff pastry sheet,sheet,245.0,Pre-baked nutrition values from USDA; 17.25 oz package typically contains 2 sheets ~245g each
pumpkin_canned,11424,"Pumpkin, canned, without salt",canned pumpkin puree,cup,245.0,
pumpkin_pie_spice,2035,"Spices, pumpkin pie spice",pumpkin pie spice,teaspoon,1.7,
raisins_golden,9297,"Raisins, golden seedless",golden raisins,cup,145.0,Golden raisins; ~145g per cup
raisins_seedless,9298,"Raisins, seedless",raisins,cup,165.0,Seedless raisins; 1/2 cup ~ 80g
salt_table,2047,"Salt, table",salt,teaspoon,6.0,
sour_cream,1056,"Cream, sour, cultured",sour cream,cup,230.0,Cultured sour cream; 1 cup = 230g; 1 Tbsp = 12g
