ndb_no,in_food_portions_csv,csv_word,csv_display,usda_desc,use_count,recipe_ids,roles,example_name
1017,yes,CREAMCHEESE,Cream Cheese,"Cheese, cream",1,SWEET_026,ingredient,cream cheese
1053,yes,CREAM,Heavy Whipping Cream,"Cream, fluid, heavy whipping",5,SWEET_003;SWEET_011;SWEET_012;SWEET_013;SWEET_014,ingredient,heavy cream
1056,NO,,,"Cream, sour, cultured",2,SWEET_026;SWEET_027,ingredient,sour cream
1077,yes,MILK,Milk,"Milk, whole, 3.25% milkfat, with added vitamin D",14,SWEET_003;SWEET_011;SWEET_012;SWEET_013;SWEET_014;SWEET_015;SWEET_016;SWEET_017;SWEET_018;SWEET_020;SWEET_022;SWEET_023;SWEET_028,ingredient,whole milk
1096,NO,,,"Milk, canned, evaporated, with added vitamin D",3,SWEET_010;SWEET_019;SWEET_020,ingredient,evaporated milk
1123,yes,EGGRAW,Egg Raw,"Egg, whole, raw, fresh",16,SWEET_002;SWEET_004;SWEET_005;SWEET_007;SWEET_008;SWEET_009;SWEET_010;SWEET_012;SWEET_015;SWEET_018;SWEET_020;SWEET_021;SWEET_022;SWEET_026;SWEET_027;SWEET_028,ingredient,large egg
1124,yes,EGGWHITE,Egg White,"Egg, white, raw, fresh",6,SWEET_006;SWEET_016;SWEET_017;SWEET_024;SWEET_025,ingredient,egg whites
1125,yes,YOLK,Yolk,"Egg, yolk, raw, fresh",8,SWEET_003;SWEET_006;SWEET_011;SWEET_012;SWEET_013;SWEET_014;SWEET_024;SWEET_026,ingredient,egg yolks
1145,yes,BUTTERUNSALTED,Butter Unsalted,"Butter, without salt",39,SWEET_001;SWEET_002;SWEET_003;SWEET_004;SWEET_005;SWEET_006;SWEET_007;SWEET_008;SWEET_009;SWEET_010;SWEET_011;SWEET_012;SWEET_013;SWEET_014;SWEET_015;SWEET_018;SWEET_019;SWEET_020;SWEET_021;SWEET_022;SWEET_026;SWEET_027;SWEET_028,ingredient,unsalted butter
2001,yes,ALLSPICE,Allspice,"Spices, allspice, ground",2,SWEET_001;SWEET_007,ingredient,allspice
2010,yes,CINNAMON,Cinnamon,"Spices, cinnamon, ground",8,SWEET_001;SWEET_002;SWEET_004;SWEET_007;SWEET_008;SWEET_021;SWEET_022;SWEET_027,ingredient,ground cinnamon
2011,yes,CLOVE,Clove,"Spices, cloves, ground",4,SWEET_001;SWEET_007;SWEET_021;SWEET_022,ingredient,ground cloves
2021,NO,,,"Spices, ginger, ground",3,SWEET_007;SWEET_021;SWEET_022,ingredient,ground ginger
2025,yes,NUTMEG,Nutmeg,"Spices, nutmeg, ground",3,SWEET_007;SWEET_008;SWEET_015,ingredient,ground nutmeg
2035,NO,,,"Spices, pumpkin pie spice",1,SWEET_010,ingredient,pumpkin pie spice
