recipe_id,recipe_name,row_order,row_type,ing_name,ing_qty,sr28_long_desc,ndb_no,portion_desc,portion_grams,serving_count,notes,game_food,animal
SWEET_003,Pie Banana Cream,0,dish,,custom (g),"Pie, banana cream, prepared from recipe",18304,custom (g),100.0,1,,,
SWEET_003,Pie Banana Cream,1,ingredient,all-purpose enriched white flour,1 1/2 cups,"Wheat flour, white, all-purpose, enriched, bleached",20081,g,188.0,1,section=crust,,
SWEET_003,Pie Banana Cream,2,ingredient,salt,1/4 teaspoon,"Salt, table",2047,g,1.5,1,section=crust,,
SWEET_003,Pie Banana Cream,3,ingredient,unsalted butter,6 tablespoons,"Butter, without salt",1145,g,85.0,1,section=crust,,
SWEET_003,Pie Banana Cream,4,ingredient,ice water,3 tablespoon ice water,"Water, tap, drinking",14411,g,45.0,1,section=crust,,
SWEET_003,Pie Banana Cream,5,ingredient,whole milk,1 3/4 cups,"Milk, whole, 3.25% milkfat, with added vitamin D",1077,g,420.0,1,section=filling,,
SWEET_003,Pie Banana Cream,6,ingredient,sugar,1/3 cup,"Sugars, granulated",19335,g,68.0,1,section=filling,,
SWEET_003,Pie Banana Cream,7,ingredient,cornstarch,4 tablespoons,Cornstarch,20027,g,32.0,1,section=filling,,
SWEET_003,Pie Banana Cream,8,ingredient,salt,1/4 teaspoon,"Salt, table",2047,g,1.5,1,section=filling,,
SWEET_003,Pie Banana Cream,9,ingredient,egg yolks (lightly beaten),2 large yolks,"Egg, yolk, raw, fresh",1125,g,35.0,1,section=filling,,
SWEET_003,Pie Banana Cream,10,ingredient,butter (cut into pieces),1 tablespoon,"Butter, without salt",1145,g,14.0,1,section=filling,,
SWEET_003,Pie Banana Cream,11,ingredient,vanilla extract,1 teaspoon,Vanilla extract,2050,g,4.2,1,section=filling,,
SWEET_003,Pie Banana Cream,12,ingredient,bananas (sliced ~1/4 inch thick),1 3/4 medium (sliced),"Bananas, raw",9040,g,195.0,1,section=assembly,,
SWEET_003,Pie Banana Cream,13,ingredient,heavy cream,1/3 cup,"Cream, fluid, heavy whipping",1053,g,90.0,1,section=topping,,
SWEET_003,Pie Banana Cream,14,ingredient,powdered sugar,3/4 tablespoon,"Sugars, powdered",19336,g,6.0,1,section=topping,,
SWEET_003,Pie Banana Cream,15,ingredient,vanilla extract,1/2 teaspoon,Vanilla extract,2050,g,2.1,1,optional;section=topping,,
SWEET_001,Pie Apple,0,dish,,custom (g),"Pie, apple, prepared from recipe",18302,custom (g),100.0,1,,,
SWEET_001,Pie Apple,1,ingredient,all-purpose enriched white flour,1 3/4 cups + 2 tbsp,"Wheat flour, white, all-purpose, enriched, bleached",20081,g,234.4,1,section=crust,,
SWEET_001,Pie Apple,2,ingredient,salt,1 1/8 teaspoon,"Salt, table",2047,g,6.5,1,section=crust,,
SWEET_001,Pie Apple,3,ingredient,unsalted butter,5 1/4 tablespoon (0.6 stick),"Butter, without salt",1145,g,74,1,section=crust,,
SWEET_001,Pie Apple,4,ingredient,vegetable shortening,5 tablespoon (2.25 oz),"Shortening, household, soybean (partially hydrogenated)-cottonseed (partially hydrogenated)",4031,g,64,1,section=crust,,
SWEET_001,Pie Apple,5,ingredient,ice water,5 tablespoon ice water,"Water, tap, drinking",14411,g,74,1,section=crust,,
SWEET_001,Pie Apple,6,ingredient,Granny Smith apples (peeled and cored),6 medium apples (peeled and cored),"Apples, raw, granny smith, with skin",9502,g,750,1,section=filling,,
SWEET_001,Pie Apple,7,ingredient,sugar,2/3 cup,"Sugars, granulated",19335,g,130,1,section=filling,,
SWEET_001,Pie Apple,8,ingredient,lemon juice,1 tablespoon,"Lemon juice, raw",9152,g,15,1,section=filling,,
SWEET_001,Pie Apple,9,ingredient,unsalted butter (cut into pieces),2 tablespoon,"Butter, without salt",1145,g,28.4,1,section=filling,,
SWEET_001,Pie Apple,10,ingredient,cornstarch,3 tablespoon,Cornstarch,20027,g,24,1,section=filling,,
SWEET_001,Pie Apple,11,ingredient,ground cinnamon,1 teaspoon,"Spices, cinnamon, ground",2010,g,2.6,1,optional;section=filling,,
SWEET_001,Pie Apple,12,ingredient,ground cloves,1 teaspoon,"Spices, cloves, ground",2011,g,2.1,1,optional;section=filling,,
SWEET_001,Pie Apple,13,ingredient,allspice,1 teaspoon,"Spices, allspice, ground",2001,g,2,1,optional;section=filling,,
SWEET_001,Pie Apple,14,ingredient,ice water,1/4 cup,"Water, tap, drinking",14411,g,60,1,section=filling,,
SWEET_002,Apple Strudel,0,dish,,custom (g),"Strudel, apple",18354,custom (g),100.0,1,,,
SWEET_002,Apple Strudel,1,ingredient,puff pastry sheet,1 sheet,"Puff pastry, frozen, ready-to-bake, baked",18211,g,245,1,section=pastry,,
SWEET_002,Apple Strudel,2,ingredient,flour for dusting,2 tablespoons (for dusting),"Wheat flour, white, all-purpose, enriched, bleached",20081,g,16,1,section=pastry,,
SWEET_002,Apple Strudel,3,ingredient,Granny Smith apples (thinly sliced),5 cups thinly sliced,"Apples, raw, granny smith, with skin",9502,g,542,1,section=filling,,
SWEET_002,Apple Strudel,4,ingredient,sugar,3/4 cup + 2 tablespoons,"Sugars, granulated",19335,g,160,1,section=filling,,
