recipe_id,recipe_name,category,historical_recipe_row,historical_ingredient_rows,historical_instruction_rows,current_generated_has_ingredients,current_generated_has_instructions,restoreability
BFAST_001,Pancakes,Breakfast,yes,6,0,yes,no,metadata_plus_ingredients_available
BFAST_002,Scrambled Eggs,Breakfast,yes,9,0,yes,no,metadata_plus_ingredients_available
BFAST_003,Bacon,Breakfast,yes,9,0,yes,no,metadata_plus_ingredients_available
BFAST_004,French Toast,Breakfast,yes,9,0,yes,no,metadata_plus_ingredients_available
BFAST_005,Oatmeal,Breakfast,yes,10,0,yes,no,metadata_plus_ingredients_available
BFAST_006,Biscuits & Gravy,Breakfast,yes,10,0,yes,no,metadata_plus_ingredients_available
BFAST_007,Eggs Benedict,Breakfast,yes,8,0,no,no,metadata_plus_ingredients_available
BFAST_008,Breakfast Burrito,Breakfast,no,0,0,no,no,not_in_yesterday_commit
BFAST_009,Breakfast Sandwich,Breakfast,no,0,0,no,no,not_in_yesterday_commit
SANDW_001,BLT,Sandwiches & Burgers,no,0,0,no,no,not_in_yesterday_commit
SANDW_002,Club Sandwich,Sandwiches & Burgers,no,0,0,no,no,not_in_yesterday_commit
SANDW_003,Grilled Cheese,Sandwiches & Burgers,no,0,0,no,no,not_in_yesterday_commit
SANDW_004,Reuben,Sandwiches & Burgers,no,0,0,no,no,not_in_yesterday_commit
SANDW_005,Tuna Salad Sandwich,Sandwiches & Burgers,no,0,0,no,no,not_in_yesterday_commit
SANDW_006,Chicken Salad Sandwich,Sandwiches & Burgers,no,0,0,no,no,not_in_yesterday_commit
SANDW_007,Egg Salad Sandwich,Sandwiches & Burgers,no,0,0,no,no,not_in_yesterday_commit
SANDW_008,Philly Cheesesteak,Sandwiches & Burgers,no,0,0,no,no,not_in_yesterday_commit
SANDW_009,Italian Sub,Sandwiches & Burgers,no,0,0,no,no,not_in_yesterday_commit
BURG_001,Hamburger,Sandwiches & Burgers,no,0,0,no,no,not_in_yesterday_commit
BURG_002,Cheeseburger,Sandwiches & Burgers,no,0,0,no,no,not_in_yesterday_commit
BURG_003,Bacon Cheeseburger,Sandwiches & Burgers,no,0,0,no,no,not_in_yesterday_commit
BURG_004,Mushroom Swiss Burger,Sandwiches & Burgers,no,0,0,no,no,not_in_yesterday_commit
BURG_005,Turkey Burger,Sandwiches & Burgers,no,0,0,no,no,not_in_yesterday_commit
AMER_001,Fried Chicken (piece),Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
AMER_002,Fried Chicken Dinner,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
AMER_003,Meatloaf (slice),Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
AMER_004,Meatloaf Dinner,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
AMER_005,Roast Chicken Dinner,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
AMER_006,Pot Roast Plate,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
AMER_007,Beef Steak Dinner,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
AMER_008,Pork Chop Dinner,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
AMER_009,Salmon Dinner,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
AMER_010,Chicken Pot Pie,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
AMER_011,Shrimp & Grits,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
PIZZA_001,Cheese Pizza,Pasta & Pizza,no,0,0,no,no,not_in_yesterday_commit
PIZZA_002,Pepperoni Pizza,Pasta & Pizza,no,0,0,no,no,not_in_yesterday_commit
PIZZA_003,Meat Lovers Pizza,Pasta & Pizza,no,0,0,no,no,not_in_yesterday_commit
PIZZA_004,Veggie Pizza,Pasta & Pizza,no,0,0,no,no,not_in_yesterday_commit
PIZZA_005,BBQ Chicken Pizza,Pasta & Pizza,no,0,0,no,no,not_in_yesterday_commit
ITAL_001,Spaghetti & Meatballs,Pasta & Pizza,no,0,0,no,no,not_in_yesterday_commit
ITAL_002,Fettuccine Alfredo,Pasta & Pizza,no,0,0,no,no,not_in_yesterday_commit
ITAL_003,Chicken Parmesan,Pasta & Pizza,no,0,0,no,no,not_in_yesterday_commit
ITAL_004,Lasagna,Pasta & Pizza,no,0,0,no,no,not_in_yesterday_commit
ITAL_005,Baked Ziti,Pasta & Pizza,no,0,0,no,no,not_in_yesterday_commit
TEXMX_001,Ground Beef Taco,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
TEXMX_002,Chicken Taco,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
TEXMX_003,Beef Burrito,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
TEXMX_004,Chicken Burrito,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
TEXMX_005,Cheese Quesadilla,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
TEXMX_006,Chicken Quesadilla,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
TEXMX_007,Nachos,Sides,no,0,0,no,no,not_in_yesterday_commit
TEXMX_008,Beef Enchiladas,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
TEXMX_009,Chicken Fajitas,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
TEXMX_010,Guacamole & Chips,Sides,no,0,0,no,no,not_in_yesterday_commit
TEXMX_011,Taco Salad,Salads,no,0,0,no,no,not_in_yesterday_commit
CHIN_001,Egg Roll,Sides,no,0,0,no,no,not_in_yesterday_commit
CHIN_002,Egg Drop Soup,Soups & Stews,no,0,0,no,no,not_in_yesterday_commit
CHIN_003,Chicken Fried Rice,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
CHIN_004,Pork Fried Rice,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
CHIN_005,Shrimp Fried Rice,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
CHIN_006,Beef with Broccoli,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
CHIN_007,Beef with Broccoli + Rice,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
CHIN_008,General Tso's Chicken,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
CHIN_009,General Tso's Chicken + Rice,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
CHIN_010,Kung Pao Chicken,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
CHIN_011,Kung Pao Chicken + Rice,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
CHIN_012,Sweet & Sour Pork,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
CHIN_013,Sweet & Sour Pork + Rice,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
CHIN_014,Lo Mein (Chicken),Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
CHIN_015,Wonton Soup,Soups & Stews,no,0,0,no,no,not_in_yesterday_commit
CHIN_016,Moo Shu Pork,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
JAPAN_001,Edamame,Sides,no,0,0,no,no,not_in_yesterday_commit
JAPAN_002,Miso Soup,Soups & Stews,no,0,0,no,no,not_in_yesterday_commit
JAPAN_003,Miso Soup + Rice,Soups & Stews,yes,6,0,no,no,metadata_plus_ingredients_available
JAPAN_004,Teriyaki Chicken,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
JAPAN_005,Teriyaki Chicken + Rice,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
JAPAN_006,Beef Teriyaki,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
JAPAN_007,Beef Teriyaki + Rice,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
JAPAN_008,California Roll,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
JAPAN_009,Shrimp Tempura,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
JAPAN_010,Shrimp Tempura + Rice,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
JAPAN_011,Ramen Bowl,Soups & Stews,no,0,0,no,no,not_in_yesterday_commit
JAPAN_012,Chicken Katsu,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
JAPAN_013,Chicken Katsu + Rice,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
ASIAN_001,Pad Thai (Chicken),Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
ASIAN_002,Pho (Beef),Soups & Stews,no,0,0,no,no,not_in_yesterday_commit
ASIAN_003,Vietnamese Spring Roll,Sides,no,0,0,no,no,not_in_yesterday_commit
ASIAN_004,Korean Bibimbap,Entrees & Main Courses,no,0,0,no,no,not_in_yesterday_commit
