foundation_ndb,legacy_ndb,foundation_description,legacy_description
0100266,9528,"Grape juice, white, with added vitamin C, from concentrate, shelf stable","Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C"
0100267,9528,"Grapefruit juice, red, not fortified, not from concentrate, refrigerated","Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C"
0100279,9132,"Grapes, red, seedless, raw","Grapes, red or green (European type, such as Thompson seedless), raw"
0100280,9132,"Grapes, green, seedless, raw","Grapes, red or green (European type, such as Thompson seedless), raw"
0100317,16360,"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed","Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids, low sodium"
0100324,35153,"Fish, salmon, sockeye, wild caught, raw","Fish, salmon, king (chinook), raw (Alaska Native)"
0100326,15261,"Fish, tilapia, farm raised, raw","Fish, tilapia, raw"
0100328,35046,"Fish, cod, Atlantic, wild caught, raw","Fish, lingcod, meat, raw (Alaska Native)"
0100346,11959,"Arugula, baby, raw","Arugula, raw"
0100347,11011,"Asparagus, green, raw","Asparagus, raw"
0100357,9520,"Kiwifruit (kiwi), green, peeled, raw","Kiwifruit, ZESPRI SunGold, raw"
0100359,9176,"Mango, Tommy Atkins, peeled, raw","Mangos, raw"
0100360,9176,"Mango, Ataulfo, peeled, raw","Mangos, raw"
0100368,20067,"Sorghum, whole grain, white, dry, raw","Sorghum grain"
0100371,9277,"Plantains, overripe, raw","Plantains, raw"
0100383,9326,"Watermelon, seedless, flesh only, raw","Watermelon, raw"
0100387,11435,"Rutabaga, peeled, raw","Rutabagas, raw"
0100388,11954,"Tomatillos, dehusked, raw","Tomatillos, raw"
0100390,11246,"Leeks, bulb and greens, root removed, raw","Leeks, (bulb and lower leaf-portion), raw"
0100391,11291,"Green onion, (scallion), bulb and greens, root removed, raw","Onions, spring or scallions (includes tops and bulb), raw"
0100392,11677,"Shallots, bulb, peeled, root removed, raw","Shallots, raw"
0100394,9442,"Juice, pomegranate, from concentrate, shelf-stable","Pomegranate juice, bottled"
0100396,11976,"Peppers, banana or Hungarian wax, seeded, raw","Pepper, banana, raw"
0100401,15023,"Mahi mahi, frozen, wild caught","Fish, mahimahi, raw"
0100402,15110,"Swordfish, frozen, wild caught","Fish, swordfish, raw"
0100404,15101,"Snapper, frozen, wild caught","Fish, snapper, mixed species, raw"
0100405,15091,"Sea bass, Chilean, frozen, wild caught","Fish, sea bass, mixed species, raw"
010896,10864,"Pork, cured, bacon, cooked, restaurant","Pork, bacon, rendered fat, cooked"
09542,9277,"Plantains, underripe, raw","Plantains, raw"
