foundation_ndb,legacy_ndb,foundation_food,existing_food
01001,1001,"Butter, stick, salted","Butter, salted"
01009,1009,"Cheese, cheddar","Cheese, cheddar"
01012,1012,"Cottage cheese, full fat, large or small curd","Cheese, cottage, creamed, large or small curd"
01015,1015,"Cheese, cottage, lowfat, 2% milkfat","Cheese, cottage, lowfat, 2% milkfat"
01017,1017,"Cream cheese, full fat, block","Cheese, cream"
01019,1019,"Cheese, feta, whole milk, crumbled","Cheese, feta"
01029,1029,"Cheese, mozzarella, low moisture, part-skim","Cheese, mozzarella, low moisture, part-skim"
01032,1032,"Cheese, parmesan, grated","Cheese, parmesan, grated"
01036,1036,"Cheese, ricotta, whole milk","Cheese, ricotta, whole milk"
01040,1040,"Cheese, swiss","Cheese, swiss"
01042,1042,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D"
01053,1053,"Cream, heavy","Cream, fluid, heavy whipping"
01056,1056,"Cream, sour, full fat","Cream, sour, cultured"
01077,1077,"Milk, whole, 3.25% milkfat, with added vitamin D","Milk, whole, 3.25% milkfat, with added vitamin D"
01079,1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D","Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
01082,1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D","Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
01085,1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)","Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
01088,1088,"Buttermilk, low fat","Milk, buttermilk, fluid, cultured, lowfat"
01116,1116,"Yogurt, plain, whole milk","Yogurt, plain, whole milk, 8 grams protein per 8 ounce"
01123,1123,"Eggs, Grade A, Large, egg whole","Egg, whole, raw, fresh"
01124,1124,"Eggs, Grade A, Large, egg white","Egg, white, raw, fresh"
01125,1125,"Eggs, Grade A, Large, egg yolk","Egg, yolk, raw, fresh"
01126,1126,"Egg, yolk, raw, frozen, pasteurized","Egg, yolk, raw, frozen, pasteurized"
01133,1133,"Egg, whole, dried","Egg, whole, dried"
01137,1137,"Egg, yolk, dried","Egg, yolk, dried"
01145,1145,"Butter, stick, unsalted","Butter, without salt"
01171,1171,"Egg, whole, raw, frozen, pasteurized","Egg, whole, raw, frozen, pasteurized"
01172,1172,"Egg, white, raw, frozen, pasteurized","Egg, white, raw, frozen, pasteurized"
01173,1173,"Egg, white, dried","Egg, white, dried"
01227,1227,"Cheese, dry white, queso seco","Cheese, dry white, queso seco"
01256,1256,"Yogurt, Greek, plain, nonfat","Yogurt, Greek, plain, nonfat"
01285,1285,"Yogurt, Greek, strawberry, nonfat","Yogurt, Greek, strawberry, nonfat"
