word,display,has_recipe,NDB_NO,usda_desc,group1,group2,matched_recipe_id,matched_recipe_name
APPLEPIE,Pie Apple,1,18302,"Pie, apple, prepared from recipe",sweets,,SWEET_001,Pie Apple
APPLESTRUDEL,Apple Strudel,1,18354,"Strudel, apple",sweets,,SWEET_002,Apple Strudel
BEEFPOTPIE,Beef Pot Pie,1,22529,"Beef Pot Pie, frozen entree, prepared",protein,prepared,,
BEEFSTEW,Beef Stew,1,22905,"Beef stew, canned entree",protein,,SOUP_003,Beef Stew
BISCUIT,Biscuit,1,18015,"Biscuits, plain or buttermilk, refrigerated dough, higher fat, baked",prepared,,,
BURRITO,Burrito Beef Bean,1,22928,"Burrito, beef and bean, microwaved",prepared,,,
BURRITOBEANCHEESE,Burrito Bean Cheese,1,21061,"Fast foods, burrito, with beans and cheese",prepared,,,
BURRITOBEANCHEESEBEEF,Burrito Bean Cheese Beef,1,21064,"Fast foods, burrito, with beans, cheese, and beef",prepared,,,
BURRITOBEANS,Burrito Bean,1,21060,"Fast foods, burrito, with beans",prepared,,,
CAKEANGELFOOD,Cake Angel Food,1,18086,"Cake, angelfood, commercially prepared",sweets,,SWEET_003,Cake Angel Food
CAKECHEESECAKE,Cake Cheesecake,1,18147,Cheesecake commercially prepared,sweets,,SWEET_004,Cake Cheesecake
CAKECHOCOLATE,Cake Chocolate no Frosting,1,18101,"Cake, chocolate, prepared from recipe without frosting",sweets,,SWEET_005,Cake Chocolate no Frosting
CAKECHOCOLATEFROSTING,Cake Chocolate Frosting,1,18096,"Cake, chocolate, commercially prepared with chocolate frosting, in-store bakery",sweets,,SWEET_006,Cake Chocolate Frosting
CAKECOFFEECAKE,Cake Coffee,1,18104,"Coffeecake, cinnamon with crumb topping, commercially prepared, enriched",sweets,,SWEET_007,Cake Coffee
CAKEGINGERBREAD,Cake Gingerbread,1,18116,"Cake, gingerbread, prepared from recipe",sweets,,SWEET_008,Cake Gingerbread
CAKEPINEAPPLE,Cake Pineapple,1,18119,"Cake, pineapple upside-down, prepared from recipe",sweets,,SWEET_009,Cake Pineapple
CAKEPOUND,Cake Pound,1,18120,"Cake, pound, commercially prepared, butter (includes fresh and frozen)",sweets,,SWEET_010,Cake Pound
CAKESHORTCAKE,Cake Shortcake,1,18126,"Cake, shortcake, biscuit-type, prepared from recipe",sweets,,SWEET_011,Cake Shortcake
CAKESPONGE,Cake Sponge,1,18134,"Cake, sponge, prepared from recipe",sweets,,SWEET_012,Cake Sponge
CAKEWHITE,Cake White no Frosting,1,18139,"Cake, white, prepared from recipe without frosting",sweets,,SWEET_013,Cake White no Frosting
CAKEWHITECOCONUTFROSTING,Cake White Coconut Frosting,1,18102,"Cake, white, prepared from recipe with coconut frosting",sweets,,SWEET_014,Cake White Coconut Frosting
CAKEYELLOWCHOCOLATEFROSTING,Cake Yellow Choc Frosting,1,18140,"Cake, yellow, commercially prepared, with chocolate frosting, in-store bakery",sweets,,SWEET_015,Cake Yellow Choc Frosting
CAKEYELLOWFROSTING,Cake Yellow Vanilla Frosting,1,18141,"Cake, yellow, commercially prepared, with vanilla frosting",sweets,,SWEET_016,Cake Yellow Vanilla Frosting
CHEESEBURGER,Cheeseburger,1,21091,"Fast foods, cheeseburger; single, regular patty, with condiments and vegetables",prepared,,BURG_002,Cheeseburger
CHICKENPARMESAN,Chicken Parmesan,1,36059,"Restaurant, Italian, chicken parmesan without pasta",protein,prepared,ITAL_003,Chicken Parmesan
CHICKENPOTPIE,Chicken Pot Pie,1,22906,"Chicken pot pie, frozen entree, prepared",protein,prepared,AMER_010,Chicken Pot Pie
CHICKENRICE,Chicken Rice,1,36401,"Restaurant, Latino, chicken and rice, entree, prepared",protein,prepared,,
CHICKENSESAME,Chicken Sesame,1,36633,"Restaurant, Chinese, sesame chicken",protein,prepared,,
CHILI,Chili,1,22911,"Chili, no beans, canned entree",prepared,protein,,
CHILIBEANS,Chili Beans,1,16059,"Chili with beans, canned",prepared,protein,,
CHILIDOG,Chili Dog,1,21119,"Fast foods, hotdog, with chili",prepared,,,
CHINESEBEEFVEG,Chinese Beef and Veg,1,36603,"Restaurant, Chinese, beef and vegetables",protein,prepared,,
CHINESECHICKCHOWMEIN,Chinese Chicken Chow Mein,1,36623,"Restaurant, Chinese, chicken chow mein",protein,prepared,,
CHINESEGENERAL,Chinese General Tso’s Chicken,1,36618,"Restaurant, Chinese, general tso's chicken",protein,prepared,,
CHINESEKUNGPAOCHICK,Chinese Kung Pao Chicken,1,36619,"Restaurant, Chinese, kung pao chicken",protein,prepared,,
CHINESELEMONCHICK,Chinese Lemon Chicken,1,36617,"Restaurant, Chinese, lemon chicken",protein,prepared,,
CHINESESHRIMPVEG,Chinese Shrimp and veg,1,36620,"Restaurant, Chinese, shrimp and vegetables",protein,prepared,,
CHINESESWSOURCHICK,Chinese Sweet Sour Chicken,1,36621,"Restaurant, Chinese, sweet and sour chicken",protein,prepared,,
CHINESESWSOURPORK,Chinese Sweet Sour Pork,1,36622,"Restaurant, Chinese, sweet and sour pork",protein,prepared,,
CHINESEVEGCHOWMEIN,Chinese Veg Chow Mein,1,36624,"Restaurant, Chinese, vegetable chow mein, without meat or noodles",prepared,,,
CHINESEVEGLOMEIN,Chinese Veg lo Mein,1,36625,"Restaurant, Chinese, vegetable lo mein, without meat",prepared,,,
CLUBSANDWICH,Sandwich Club,1,21152,"SUBWAY, SUBWAY CLUB sub on white bread with lettuce and tomato",prepared,,,
COOKIESBROWNIES,Cookies Brownies,1,18154,"Cookies, brownies, prepared from recipe",sweets,,SWEET_017,Cookies Brownies
COOKIESBUTTER,Cookies Butter,1,18155,"Cookies, butter, commercially prepared, enriched",sweets,,SWEET_018,Cookies Butter
COOKIESCHOCOLATECHIP,Cookies Choc Chip,1,18164,"Cookies, chocolate chip, refrigerated dough, baked",sweets,,SWEET_019,Cookies Choc Chip
COOKIESFIGBAR,Cookies Fig Bar,1,18170,"Cookies, fig bars",sweets,,SWEET_020,Cookies Fig Bar
COOKIESGINGERSNAP,Cookies Gingersnap,1,18172,"Cookies, gingersnaps",sweets,,SWEET_021,Cookies Gingersnap
COOKIESMACAROON,Cookies Macaroon,1,28309,"Cookies, coconut macaroon",sweets,,SWEET_022,Cookies Macaroon
COOKIESMOLASSES,Cookies Molasses,1,18177,"Cookies, molasses",sweets,,SWEET_023,Cookies Molasses
COOKIESOATMEAL,Cookies Oatmeal,1,18183,"Cookies, oatmeal, refrigerated dough, baked",sweets,,SWEET_024,Cookies Oatmeal
COOKIESOATMEALRAISIN,Cookies Oatmeal Raisin,1,18184,"Cookies, oatmeal, prepared from recipe, with raisins",sweets,,SWEET_025,Cookies Oatmeal Raisin
COOKIESPEANUTBUTTER,Cookies Peanut Butter,1,18188,"Cookies, peanut butter, refrigerated dough, baked",sweets,,SWEET_026,Cookies Peanut Butter
COOKIESSHORTBREAD,Cookies Shortbread,1,18192,"Cookies, shortbread, commercially prepared, plain",sweets,,SWEET_027,Cookies Shortbread
COOKIESSUGAR,Cookies Sugar,1,18208,"Cookies, sugar, prepared from recipe, made with margarine",sweets,,SWEET_028,Cookies Sugar
