recipe_id,row_order,ingredient_key,qty_display,grams,grams_min,grams_max,section,is_optional,display_name_override
SWEET_001,1,flour_ap_white_enriched_bleached,1 3/4 cups + 2 tbsp,234.4,150.0,400.0,crust,false,
SWEET_001,2,salt_table,1 1/8 teaspoon,6.5,1.0,12.0,crust,false,
SWEET_001,3,butter_unsalted,5 1/4 tablespoon (0.6 stick),74.0,40.0,200.0,crust,false,
SWEET_001,4,vegetable_shortening,5 tablespoon (2.25 oz),64.0,15.0,120.0,crust,false,
SWEET_001,5,water_tap,5 tablespoon ice water,74.0,30.0,150.0,crust,false,
SWEET_001,6,apple_granny_smith_raw,6 medium apples (peeled and cored),750.0,400.0,1000.0,filling,false,
SWEET_001,7,sugar_granulated,2/3 cup,130.0,40.0,200.0,filling,false,
SWEET_001,8,lemon_juice_raw,1 tablespoon,15.0,3.0,40.0,filling,false,
SWEET_001,9,butter_unsalted,2 tablespoon,28.4,3.0,40.0,filling,false,unsalted butter (cut into pieces)
SWEET_001,10,cornstarch,3 tablespoon,24.0,4.0,40.0,filling,false,
SWEET_001,11,cinnamon_ground,1 teaspoon,2.6,0.0,8.0,filling,true,
SWEET_001,12,cloves_ground,1 teaspoon,2.1,0.0,8.0,filling,true,
SWEET_001,13,allspice_ground,1 teaspoon,2.0,0.0,8.0,filling,true,
SWEET_001,14,water_tap,1/4 cup,60.0,0.0,120.0,filling,false,
SWEET_002,1,puff_pastry_baked,1 sheet,245.0,200.0,300.0,pastry,false,
SWEET_002,2,flour_ap_white_enriched_bleached,2 tablespoons (for dusting),16.0,8.0,30.0,pastry,false,flour for dusting
SWEET_002,3,apple_granny_smith_raw,5 cups thinly sliced,542.0,400.0,700.0,filling,false,Granny Smith apples (thinly sliced)
SWEET_002,4,sugar_granulated,3/4 cup + 2 tablespoons,160.0,80.0,200.0,filling,false,
SWEET_002,5,sugar_brown,1/4 cup,36.0,20.0,80.0,filling,false,
SWEET_002,6,raisins_seedless,1/2 cup,80.0,40.0,150.0,filling,false,
SWEET_002,7,flour_ap_white_enriched_bleached,2 tablespoons (for thickening),16.0,8.0,30.0,filling,false,flour (for thickening)
SWEET_002,8,water_tap,1/4 cup,59.0,0.0,120.0,filling,false,water (evaporates during simmer)
SWEET_002,9,bread_crumbs_dry,1/2 cup,55.0,30.0,100.0,filling,false,
SWEET_002,10,butter_unsalted,3 tablespoons,42.0,15.0,80.0,filling,false,butter (for browning the bread crumbs)
SWEET_002,11,lemon_juice_raw,1 tablespoon,15.0,5.0,40.0,filling,false,
SWEET_002,12,salt_table,1/4 teaspoon (heaping),1.3,0.0,4.0,filling,false,salt (pinch)
SWEET_002,13,cinnamon_ground,1 teaspoon,3.0,0.0,8.0,filling,true,
SWEET_002,14,egg_whole_raw,1 large egg,50.0,40.0,60.0,finish,false,beaten (for sealing and basting the pastry)
SWEET_003,1,flour_ap_white_enriched_bleached,1 1/2 cups,188.0,100.0,250.0,crust,false,
SWEET_003,2,salt_table,1/2 teaspoon,3.0,1.0,8.0,crust,false,
SWEET_003,3,butter_unsalted,6 tablespoons,85.0,60.0,200.0,crust,false,
SWEET_003,4,water_tap,3 tablespoon ice water,45.0,20.0,90.0,crust,false,
SWEET_003,5,milk_whole,2 cups,488.0,300.0,700.0,filling,false,
SWEET_003,6,sugar_granulated,1/3 cup + 1 tablespoon,80.0,60.0,200.0,filling,false,
SWEET_003,7,cornstarch,4 tablespoons,32.0,15.0,60.0,filling,false,
SWEET_003,8,flour_ap_white_enriched_bleached,2 tablespoons,16.0,5.0,40.0,filling,false,
SWEET_003,9,salt_table,1/2 teaspoon heaping,3.5,0.0,2.0,filling,false,
SWEET_003,10,egg_yolk_raw,3 large yolks,51.0,30.0,120.0,filling,false,egg yolks (lightly beaten)
SWEET_003,11,butter_unsalted,1 tablespoon,14.0,15.0,60.0,filling,false,butter (cut into pieces)
SWEET_003,12,vanilla_extract,1 teaspoon,4.2,0.0,12.0,filling,false,
SWEET_003,13,banana_raw,2 1/2 medium (sliced),295.0,200.0,500.0,assembly,false,bananas (sliced ~1/4 inch thick)
SWEET_003,14,heavy_cream,3/4 cup,180.0,150.0,350.0,topping,false,
SWEET_003,15,sugar_powdered,2 tablespoons,15.0,5.0,40.0,topping,false,
SWEET_003,16,vanilla_extract,1/2 teaspoon,2.1,0.0,8.0,topping,true,
SWEET_004,1,flour_ap_white_enriched_bleached,2 cups,250.0,100.0,500.0,crust,false,
SWEET_004,2,salt_table,3/4 teaspoon,4.5,1.0,12.0,crust,false,
SWEET_004,3,butter_unsalted,3/4 cup,170.0,100.0,300.0,crust,false,chilled
SWEET_004,4,water_tap,5 tablespoon ice water,75.0,40.0,150.0,crust,false,
SWEET_004,5,sugar_granulated,2 teaspoons,8.0,0.0,20.0,crust,false,
SWEET_004,6,blueberries_raw,5 cups,740.0,500.0,1000.0,filling,false,fresh
SWEET_004,7,sugar_granulated,1/2 cup,100.0,100.0,250.0,filling,false,
SWEET_004,8,cornstarch,1/4 cup,32.0,15.0,60.0,filling,false,
SWEET_004,9,lemon_juice_raw,1 tablespoon,15.0,5.0,30.0,filling,false,
SWEET_004,10,cinnamon_ground,1/2 teaspoon,1.3,0.0,5.0,filling,false,
SWEET_004,11,salt_table,1/4 teaspoon,1.5,0.0,3.0,filling,false,
SWEET_004,12,butter_unsalted,1 tablespoon,14.0,0.0,30.0,filling,false,dotted on top of filling
SWEET_004,13,egg_whole_raw,1 large egg (for wash; ~half adheres),25.0,0.0,60.0,wash,false,beaten with 1 tsp water; brush onto lattice
SWEET_004,14,water_tap,1 teaspoon (egg wash),5.0,0.0,20.0,wash,false,
SWEET_005,1,flour_ap_white_enriched_bleached,2 cups,250.0,100.0,500.0,crust,false,
SWEET_005,2,salt_table,3/4 teaspoon,4.5,1.0,12.0,crust,false,
SWEET_005,3,butter_unsalted,3/4 cup,170.0,100.0,300.0,crust,false,chilled
SWEET_005,4,water_tap,5 tablespoon ice water,75.0,40.0,150.0,crust,false,
SWEET_005,5,sugar_granulated,2 teaspoons,8.0,0.0,20.0,crust,false,
SWEET_005,6,cherries_sour_red_raw,4 cups (pitted),620.0,400.0,900.0,filling,false,"fresh or thawed frozen tart cherries, pitted"
SWEET_005,7,sugar_granulated,1 cup,200.0,100.0,300.0,filling,false,
SWEET_005,8,cornstarch,1/4 cup,32.0,15.0,60.0,filling,false,
SWEET_005,9,lemon_juice_raw,1 tablespoon,15.0,5.0,30.0,filling,false,
SWEET_005,10,salt_table,1/4 teaspoon,1.5,0.0,3.0,filling,false,
SWEET_005,11,butter_unsalted,1 tablespoon,14.0,0.0,30.0,filling,false,dotted on top of filling
SWEET_005,12,egg_whole_raw,1 large egg (for wash; ~half adheres),25.0,0.0,60.0,wash,false,beaten with 1 tsp water; brush onto lattice
SWEET_005,13,water_tap,1 teaspoon (egg wash),5.0,0.0,20.0,wash,false,
SWEET_006,1,flour_ap_white_enriched_bleached,1 1/2 cups,188.0,100.0,250.0,crust,false,
SWEET_006,2,salt_table,1/2 teaspoon,3.0,1.0,8.0,crust,false,
SWEET_006,3,butter_unsalted,6 tablespoons,85.0,60.0,200.0,crust,false,chilled
