recipe_id,foods
BEV_001,grapes|butter
BEV_002,grapes|butter
BFAST_001,carrot|butter
BFAST_002,egg|bread|butter
BFAST_003,egg|grapes|bread
BFAST_004,egg|butter|bread
BFAST_005,egg|grapes|bread
BFAST_006,egg|butter|bread
BFAST_007,egg|butter|bread
DINR_001,bacon|carrot|butter
DINR_002,bacon|carrot|tomato
DINR_003,bacon|cheese|bread
DINR_004,cheese|bread|tomato
DINR_005,bacon|cheese|bread
DINR_006,bread|tomato
DINR_007,chicken|cheese|tomato
DINR_008,chicken|carrot|butter
DINR_009,chicken|tomato
DINR_010,chicken|carrot
DINR_011,bacon|tomato|carrot
DINR_012,tomato|carrot
DINR_013,bacon|carrot|tomato
DINR_014,chicken|carrot|bread
DINR_015,chicken|carrot
DINR_016,chicken|carrot|grapes
DINR_017,chicken|carrot
DINR_018,fish|carrot
DINR_019,chicken|grapes|carrot
DINR_020,bacon|grapes|carrot
DINR_021,carrot|lettuce|bread
DINR_022,carrot|lettuce|bread
DINR_023,cheese|bread|tomato
DINR_024,cheese|egg|tomato
DINR_025,bacon|cheese|tomato
DINR_026,bacon|egg|bread
DINR_027,chicken|tomato|butter
DINR_029,tomato|bread
DINR_031,cheese|egg|tomato
DINR_032,bacon|cheese|lettuce
DINR_033,chicken|cheese|lettuce
DINR_034,cheese|bread
DINR_035,bacon|bread
DINR_036,bacon|carrot
DINR_037,chicken|carrot|butter
JAPAN_003,bread|butter|carrot
LUNCH_001,bacon|cheese|bread
LUNCH_002,bacon|bread|tomato
LUNCH_003,bacon|bread|lettuce
LUNCH_004,carrot|egg|bread
LUNCH_005,bacon|bread|tomato
LUNCH_006,cheese|bread
LUNCH_007,bacon|lettuce|bread
LUNCH_008,egg|carrot
LUNCH_009,egg|carrot|tomato
SALAD_001,carrot|egg|tomato
SALAD_002,lettuce|bacon|tomato
SALAD_003,fish|carrot|tomato
SIDE_001,butter|bread
SIDE_002,egg|bread|butter
SIDE_003,egg|bread|butter
SIDE_004,cheese|butter|bread
SIDE_005,tomato|carrot
SIDE_006,butter|carrot
SIDE_007,carrot|butter
SIDE_008,egg|carrot|butter
SIDE_009,egg|butter|bread
SIDE_010,egg|butter|bread
SIDE_011,egg|butter|bread
SIDE_012,cheese|butter|bread
SNACK_001,bacon|bread|egg
SNACK_002,carrot|bread|bacon
SNACK_003,chicken|carrot|bread
SNACK_004,bacon|carrot|bread
SNACK_005,carrot|butter
SWEET_001,apple|bread
SWEET_002,apple|butter
SWEET_003,egg|bread
SWEET_004,egg|butter|cheese
SWEET_005,egg|butter|bread
SWEET_006,egg|butter|bread
SWEET_007,egg|butter|bread
SWEET_008,egg|butter|bread
SWEET_009,egg|grapes|butter
SWEET_010,egg|butter|bread
SWEET_011,egg|butter|bread
SWEET_012,egg|butter|bread
SWEET_013,egg|butter|bread
SWEET_014,egg|butter|bread
SWEET_015,egg|butter|bread
SWEET_016,egg|butter|bread
SWEET_017,egg|butter|bread
SWEET_018,butter|bread
SWEET_019,egg|butter|bread
SWEET_020,grapes|butter
SWEET_021,butter|bread
SWEET_022,egg|grapes
SWEET_023,butter|bread
SWEET_024,egg|butter|bread
SWEET_025,egg|grapes|butter
SWEET_026,butter|bread
SWEET_027,butter|bread
SWEET_028,egg|butter|bread
SWEET_029,egg|butter|bread
SWEET_030,grapes|butter
SWEET_031,grapes|butter
SWEET_032,egg|butter|bread
SWEET_033,grapes|butter
SWEET_034,egg|butter|bread
SWEET_035,grapes|butter
SWEET_036,apple|butter
SWEET_037,egg|butter
SWEET_038,grapes|butter
SWEET_039,grapes|butter
SWEET_040,grapes|butter
SWEET_041,egg|butter
