ingredient_key,ndb_no,food_word,default_long_desc,default_display_name,common_unit,common_unit_grams,notes
alfalfa_sprouts_raw,11001,SPROUTS,"Alfalfa seeds, sprouted, raw",alfalfa sprouts,cup,33.0,
allspice_ground,2001,ALLSPICE,"Spices, allspice, ground",allspice,teaspoon,2.0,
apple_cider_vinegar,2048,VINEGARCIDER,"Vinegar, cider",apple cider vinegar,tablespoon,15.0,
apple_granny_smith_raw,9502,APPLESMITH,"Apples, raw, granny smith, with skin",Granny Smith apples (peeled and cored),medium_apple,125.0,Tart firm baking apple; assume ~125g per medium apple after peeling and coring (from ~150g whole)
apple_raw,9003,APPLE,"Apples, raw, with skin",apple,cup_chopped,125.0,
apricots_dried,9032,APRICOTDRIED,"Apricots, dried, sulfured, uncooked",dried apricots,cup,130.0,"Dried apricots, chopped; ~130g per cup"
avocado_raw,9038,AVOCADO,"Avocados, raw, California",avocado,avocado,150.0,Whole medium avocado; half provides ~75g flesh
bacon_cooked_pan_fried,10862,BACON,"Pork, cured, bacon, pre-sliced, cooked, pan-fried",cooked bacon,slice,11.5,NDB is already cooked pan-fried value
baking_powder,18370,BAKINGPOWDER,"Leavening agents, baking powder, double-acting, straight phosphate",baking powder,teaspoon,4.0,
baking_soda,18372,BAKINGSODA,"Leavening agents, baking soda",baking soda,teaspoon,4.6,1 tsp ~4.6g; very high sodium use carefully
balsamic_vinegar,2069,VINEGARBALSAMIC,"Vinegar, balsamic",balsamic vinegar,tbsp,15,
banana_raw,9040,BANANA,"Bananas, raw",bananas (sliced),medium_banana,118.0,Medium banana ~118g without peel
basil_dried,2003,BASIL,"Spices, basil, dried",dried basil,teaspoon,0.7,
basil_fresh,2044,BASILFRESH,"Basil, fresh",fresh basil,leaves,2.5,
bbq_sauce,6150,BBQSAUCE,"Sauce, barbecue",BBQ sauce,tablespoon,15.0,
beans_black_cooked,16015,BLACKBEAN,"Beans, black, mature seeds, cooked, boiled, without salt",black beans,cup,172.0,cooked
beans_refried_canned,16403,REFRIEDBEAN,"Refried beans, canned, traditional style, reduced sodium",refried beans,cup,238.0,canned
beef_brisket_raw,13803,BEEFBRISKET,"Beef, brisket, whole, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",beef brisket,oz,28.35,
beef_broth_canned,6008,SOUPBEEFBROTH,"Soup, beef broth or bouillon canned, ready-to-serve",beef broth,cup,245.0,
