recipe_id,section_key,section_label,prep_method,cook_method,yield_factor_water,yield_factor_fat,yield_factor_protein,yield_factor_carbohydrate,yield_factor_other,yield_factor_fiber,filling_class,cook_stages,boil_stages,source_recipe,primary_entry_stage
PASTA_005,pasta,Pasta,boiled,boiled,,,,,,,,,8,,
PASTA_005,shrimp,Shrimp,pan seared,simmer,,,,,,,pan_grilled_chicken,,4,,
PASTA_005,garlic,Garlic,sauteed,simmer,,,,,,,,,1,,
PASTA_005,sauce,Sauce,,simmer,,,,,,,simmer_sauce,,2,,
PASTA_005,garnish,Garnish,finish,raw,,,,,,,,,,,
PASTA_007,pasta,Pasta,boiled,boiled,,,,,,,,,8,,
PASTA_007,garlic,Garlic,sauteed,sauteed,,,,,,,sauteed_aromatic,,2,,
PASTA_007,sauce,Lemon butter sauce,,raw,,,,,,,,,,,
PASTA_008,pasta,Pasta,boiled,boiled,,,,,,,,,8,,
PASTA_008,garlic,Garlic,pan seared,pan seared,,,,,,,,,9,,
PASTA_008,veggies,"Broccoli, Asparagus, Bell Pepper",pan seared,pan seared,,,,,,,,,8,,
PASTA_008,zucchini,Zucchini,pan seared,pan seared,,,,,,,,,5,,
PASTA_008,peas_tomatoes,Peas and Tomatoes,pan seared,pan seared,,,,,,,,,3,,
PASTA_008,wine,Wine,pan seared,pan seared,,,,,,,,,2,,
PASTA_008,parmesan,Parmesan,,raw,,,,,,,,,,,
PASTA_010,wilted_spinach,Wilt spinach,scalded,scalded,,,,,,,scalded_squeezed_spinach,,1,,
PASTA_010,dough_filling,Dough & filling,boiled,boiled,,,,,,,,,3,,
PASTA_010,brown_butter,Brown butter,sauteed,sauteed,,,,,,,,,4,,
PASTA_010,garlic_sage,Garlic sage,sauteed,sauteed,,,,,,,,,1,,
PASTA_010,lemon,Lemon finish,finish,raw,,,,,,,,,,,
PASTA_012,pasta,Pasta,boiled,boiled,,,,,,,,,8,,
PASTA_012,vegetables,Vegetables,pan seared,simmer,,,,,,,simmer_sauce,,9,,
PASTA_012,garlic,Garlic,pan seared,simmer,,,,,,,,,1,,
PASTA_012,beef_pork,Beef & pork,pan seared,simmer,,,,,,,fried_meat,,8,,
PASTA_012,wine,Wine,pan seared,simmer,,,,,,,,,3,,
PASTA_012,milk,Milk,sub-simmer,simmer,,,,,,,simmer_sauce,,2,,
PASTA_012,tomatoes,Tomatoes,,simmer,,,,,,,simmer_sauce,,90,,
PASTA_014,pasta,Pasta,boiled,boiled,,,,,,,,,8,,
PASTA_014,bacon,Bacon,pan seared,pan seared,,,,,,,fried_meat,,8,,
PASTA_014,sauce,Sauce,,raw,,,,,,,,,,,
PASTA_015,pasta,Pasta,boiled,boiled,,,,,,,,,8,,
PASTA_015,sauce,Sauce,sub-simmer,sub-simmer,,,,,,,simmer_sauce,,4,,
PASTA_015,parmesan,Parmesan,,raw,,,,,,,,,,,
PASTA_016,pasta,Pasta,boiled,boiled,,,,,,,,,8,,
PASTA_016,vodka,Vodka,simmer,simmer,,,,,,,simmer_sauce,,15,,
PASTA_016,tomatoes,Tomatoes,simmer,simmer,,,,,,,simmer_sauce,,13,,
PASTA_016,cream,Cream,simmer,simmer,,,,,,,simmer_sauce,,3,,
PASTA_016,parmesan,Parmesan,,raw,,,,,,,,,,,
SIDE_018,assembly,Assembly,,baked,,,,,,,simmer_sauce,300:270,,,
SIDE_018,beans,Beans,simmer,baked,,,,,,,simmer_sauce,300:270,50,,
SIDE_018,salt_pork,Salt pork,pan seared,baked,,,,,,,fried_meat,300:270,5,,
SIDE_019,cheese_sauce,Cheese sauce,,baked,,,,,,,,350:20,,,
SIDE_019,pasta,Elbow macaroni,boiled,boiled,,,,,,,,,8,,
SIDE_019,milk_roux,Milk to roux,sub-simmer,baked,,,,,,,simmer_sauce,350:20,6,,
SIDE_019,roux,Roux,sauteed,baked,,,,,,,pan_grilled_batter,350:20,2,,
SIDE_020,pasta,Elbow macaroni,boiled,boiled,,,,,,,,,8,,
SIDE_020,tomato,Tomato,,simmer,,,,,,,simmer_sauce,,9,,
SIDE_021,trinity,Trinity,pan seared,boiled,,,,,,,,,6,,
SIDE_021,assembly,Assembly,,boiled,,,,,,,simmer_sauce,,22,,
SIDE_021,seasoning,Creole Seasoning,,raw,,,,,,,,,,SAUCE_014,
SIDE_022,battered_okra,Battered okra,,fried,,,,,,,fried_battered_vegetable,,3,,
SIDE_022,seasoning,Creole Seasoning,,raw,,,,,,,,,,SAUCE_014,
SIDE_023,battered_squash,Battered squash,,fried,,,,,,,fried_battered_vegetable,,3,,
SIDE_023,seasoning,Creole Seasoning,,raw,,,,,,,,,,SAUCE_014,
SIDE_024,baked_potatoes,Sweet potatoes,baked,baked,,,,,,,dairy_custard,"375:55,350:27",,,
SIDE_024,filling,Filling,,baked,,,,,,,dairy_custard,350:27,,,
SIDE_024,topping,Topping,,baked,,,,,,,crumb_crust,350:27,,,
SIDE_025,baked_potatoes,Sweet potatoes,baked,baked,,,,,,,dairy_custard,"375:55,350:27",,,
SIDE_025,filling,Filling,,baked,,,,,,,dairy_custard,350:27,,,
SIDE_025,topping,Topping,,baked,,,,,,,crumb_crust,350:27,,,
SIDE_026,baked_potatoes,Sweet potatoes,baked,baked,,,,,,,dairy_custard,"375:55,350:22",,,
SIDE_026,filling,Filling,,baked,,,,,,,dairy_custard,350:22,,,
SIDE_026,topping,Topping,,baked,,,,,,,,350:22,,,
SIDE_028,onions,Onions,sauteed,simmer,,,,,,,,,5,,
SIDE_028,garlic,Garlic,sauteed,simmer,,,,,,,,,1,,
SIDE_028,collards,Collard greens,,simmer,,,,,,,braised_leafy_vegetable,,55,,
SIDE_029,roux,Roux,sauteed,simmer,,,,,,,pan_grilled_batter,,2,,
SIDE_029,cream,Heavy cream,sub-simmer,simmer,,,,,,,simmer_sauce,,2,,
SIDE_029,creamed_corn,Creamed corn,,simmer,,,,,,,simmer_sauce,,7,,
SIDE_030,spinach,Wilt spinach,pan seared,sub-simmer,,,,,,,wilt_squeezed_spinach,,3,,
SIDE_030,onion,Onion,sauteed,sub-simmer,,,,,,,,,6,,
SIDE_030,garlic,Garlic,sauteed,sub-simmer,,,,,,,,,1,,
SIDE_030,cream,Heavy cream,sub-simmer,sub-simmer,,,,,,,simmer_sauce,,2,,
SIDE_030,assembly,Assembly,,sub-simmer,,,,,,,simmer_sauce,,2,,
SIDE_031,fries,French fries,,fried,,,,,,,deep_fried_potato,,4,,
SIDE_031,salting,Salting,finish,raw,,,,,,,,,,,
SIDE_032,carrots,Glazed carrots,,simmer,,,,,,,glazed_vegetable,,6,,
SIDE_033,rings,Onion rings,,fried,,,,,,,deep_fried_battered_ring,,5,,
SIDE_034,mixture,Green bean mixture,baked,baked,,,,,,,casserole_baked,"350:25,350:5",,,
SIDE_034,topping,Onion Ring topping,,raw,,,,,,,,,,SIDE_033,
SIDE_035,onion,Onion,sauteed,braise,,,,,,,,,4,,
SIDE_035,garlic,Garlic,sauteed,braise,,,,,,,,,1,,
SIDE_035,pilaf,Pilaf,,braise,,,,,,,,,18,,
SIDE_035,parsley,Parsley,finish,raw,,,,,,,,,,,
SIDE_036,broth,Chicken Broth,,raw,,,,,,,,,,STOCK_003,
SIDE_036,onion,Onion,sauteed,simmer,,,,,,,,,6,,
SIDE_036,garlic_thyme,Garlic & thyme,sauteed,simmer,,,,,,,,,2,,
SIDE_036,coat_rice,Coat rice,pan seared,simmer,,,,,,,,,2,,
SIDE_036,wine,Wine,simmer,simmer,,,,,,,,,2,,
SIDE_036,risotto,Risotto,,simmer,,,,,,,,,19,,
SIDE_036,parmesan,Parmesan,finish,raw,,,,,,,,,,,
SIDE_037,asparagus,Asparagus,,baked,,,,,,,roasted_vegetable,425:12,,,
SIDE_037,finish,Finish,finish,raw,,,,,,,,,,,
SIDE_038,sprouts,Brussels sprouts,,baked,,,,,,,roasted_vegetable,425:20,,,
SIDE_038,finish,Balsamic finish,finish,raw,,,,,,,,,,,
SIDE_039,stuffing,Stuffing,,baked,,,,,,,stuffed_mushroom,400:20,,,
SIDE_040,succotash,Succotash,,sub-simmer,,,,,,,simmered_vegetable,,6,,
SWEET_001,crust,Pie crust,raw,baked,,1.0,,,1.0,,,"425:15,350:37",,,
SWEET_001,filling,Apple filling,simmer,baked,,1.0,,,1.0,,thickened_fruit,"425:15,350:37",5,,
SWEET_003,crust,Pie crust,baked,baked,,1.0,,,1.0,,pastry,425:25,,,
SWEET_003,filling,Vanilla custard filling,boiled,boiled,,1.0,,,1.0,,dairy_custard,,8,,
SWEET_003,assembly,Banana layer,raw,raw,1.0,1.0,,,1.0,,none,,,,
SWEET_003,topping,Whipped cream topping,raw,raw,1.0,1.0,,,1.0,,none,,,,
SWEET_006,crust,Pie crust,baked,baked,,,,,,,,425:25,,,
SWEET_006,filling,Lemon curd filling,boiled,boiled,,,,,,,starch_custard,,9,,
SWEET_006,topping,Meringue topping,none,baked,,,,,,,none,350:9,,,
SWEET_011,crust,Pie crust,baked,baked,,1.0,,,1.0,,pastry,375:25,,,
SWEET_011,filling,Vanilla pastry cream,boiled,boiled,,1.0,,,1.0,,dairy_custard,,3,,
SWEET_011,topping,Whipped cream topping,raw,raw,1.0,1.0,,,1.0,,none,,,,
SWEET_013,crust,Chocolate cookie crumb crust,baked,baked,,1.0,,,1.0,,crumb_crust,350:9,,,
SWEET_013,filling,Chocolate pastry cream,boiled,boiled,,1.0,,,1.0,,dairy_custard,,3,,
SWEET_013,topping,Whipped cream topping,raw,raw,1.0,1.0,,,1.0,,none,,,,
SWEET_014,crust,Pie crust,baked,baked,,1.0,,,1.0,,pastry,400:24,,,
SWEET_014,filling,Coconut pastry cream,boiled,boiled,,1.0,,,1.0,,dairy_custard,,3,,
SWEET_014,topping,Whipped cream topping,raw,raw,1.0,1.0,,,1.0,,none,,,,
SWEET_002,pastry,Puff pastry,raw,baked,,1.0,,,1.0,,,375:35,,,
SWEET_002,filling,Apple-raisin filling,simmer,baked,,1.0,,,1.0,,strudel_fruit,375:35,5,,
SWEET_002,finish,Egg wash finish,raw,baked,1.0,1.0,,,1.0,,none,,,,
SWEET_004,crust,Pie crust,raw,baked,,1.0,,,1.0,,,"425:25,375:55",,,
SWEET_004,filling,Blueberry filling,raw,baked,,1.0,,,1.0,,thickened_fruit,"425:25,375:55",,,
SWEET_004,wash,Egg wash,raw,raw,1.0,1.0,,,1.0,,none,,,,
SWEET_005,crust,Pie crust,raw,baked,,1.0,,,1.0,,,"425:25,375:55",,,
SWEET_005,filling,Cherry filling,simmer,baked,,1.0,,,1.0,,thickened_fruit,"425:25,375:55",5,,
SWEET_005,wash,Egg wash,raw,raw,1.0,1.0,,,1.0,,none,,,,
SWEET_007,crust,Pie crust,raw,baked,,1.0,,,1.0,,,"425:20,375:33",,,
SWEET_007,filling,Mincemeat filling,boiled,baked,,1.0,,,1.0,,mincemeat,"425:20,375:33",30,,
SWEET_007,wash,Egg wash,raw,raw,1.0,1.0,,,1.0,,,,,,
SWEET_008,crust,Pie crust,raw,baked,,1.0,,,1.0,,,"425:20,375:27",,,
SWEET_008,filling,Peach filling,simmer,baked,,1.0,,,1.0,,moderate_fruit,"425:20,375:27",10,,
SWEET_008,wash,Egg wash,raw,raw,1.0,1.0,,,1.0,,none,,,,
SWEET_009,crust,Pie crust,raw,baked,,1.0,,,1.0,,,350:55,,,
SWEET_009,filling,Pecan custard filling,raw,baked,,1.0,,,1.0,,syrup_custard,350:55,,,
SWEET_010,crust,Pie crust,raw,baked,,1.0,,,1.0,,,"425:15,350:45",,,
SWEET_010,filling,Pumpkin custard filling,raw,baked,,1.0,,,1.0,,vegetable_custard,"425:15,350:45",,,
SWEET_012,cake,Yellow butter cake,baked,baked,,1.0,,,1.0,,cake_batter,350:24,,,
SWEET_012,filling,Vanilla pastry cream,boiled,boiled,,1.0,,,1.0,,starch_custard,,3,,
SWEET_012,glaze,Chocolate ganache glaze,raw,raw,1.0,1.0,,,1.0,,none,,,,
SWEET_015,crust,Pie crust,baked,baked,,1.0,,,1.0,,,400:18,,,
SWEET_015,filling,Egg custard filling,raw,baked,,1.0,,,1.0,,dairy_custard,325:40,,,
CRUST_001,crust,Double pie crust,,raw,,1.0,,,1.0,,,,,,
CRUST_002,crust,Single pie crust,,baked,,1.0,,,1.0,,,425:25,,,
SWEET_017,cake,White butter cake (SWEET_016 base),baked,baked,,1.0,,,1.0,,,350:30,,,
SWEET_017,frosting,7-minute coconut frosting,,sub-simmer,,1.0,,,1.0,,,,7,,
SWEET_019,glaze,Chocolate glaze,raw,simmer,,1.0,,,1.0,,,,2,,
SWEET_020,cake,Butter-buttermilk yellow cake,baked,baked,,1.0,,,1.0,,cake_batter,350:30,,,
SWEET_020,frosting,Bittersweet chocolate glaze,raw,raw,,1.0,,,1.0,,none,,3,,
CRUST_003,crust,Single pie crust (unbaked),raw,raw,1.0,1.0,,,1.0,,,,,,
BKFST_012,sausage,Browned pork sausage,fried,fried,,1.0,,,1.0,,fried_meat,,7,,
BKFST_012,gravy,Milk gravy,simmer,simmer,,1.0,,,1.0,,simmer_sauce,,5,,
BKFST_002,biscuit,Biscuit,baked,raw,,1.0,,,1.0,,,450:14,,BKFST_001,
BKFST_002,sausage_crumbles,Browned pork sausage,fried,fried,,1.0,,,1.0,,fried_meat,,7,,
BKFST_002,milk_gravy,Milk gravy,simmer,simmer,,1.0,,,1.0,,simmer_sauce,,5,,
BKFST_001,biscuit,Biscuit,,baked,,1.0,,,1.0,,,450:14,,,
BKFST_015,sausage,Sausage,,fried,,0.91,,,1.0,,fried_meat,,8,,
SWEET_016,cake,Cake,,baked,,1.0,,,1.0,,,350:30,,,
SWEET_018,cake,Cake,,baked,,1.0,,,1.0,,,350:30,,,
SWEET_021,cake,Cake,,baked,,1.0,,,1.0,,,350:37,,,
SWEET_023,biscuit,Biscuit,,baked,,1.0,,,1.0,,,450:15,,,
SWEET_024,cake,Cake,,baked,,1.0,,,1.0,,,325:45,,,
SWEET_025,cake,Cake,,baked,,1.0,,,1.0,,,350:40,,,
SWEET_029,batter,Batter,,baked,,1.0,,,1.0,,,350:25,,,
SWEET_030,dough,Dough,,baked,,1.0,,,1.0,,,350:15,,,
SWEET_031,rolling,Cookies,rolled,baked,,1.0,,,1.0,,,375:9,,,
SWEET_032,rolling,Cookies,rolled,baked,,1.0,,,1.0,,,375:11,,,
SWEET_033,dough,Dough,,baked,,1.0,,,1.0,,,325:13,,,
SWEET_034,dough,Dough,,baked,,1.0,,,1.0,,,350:12,,,
SWEET_036,macaroons,Macaroons,,baked,,1.0,,,1.0,,,325:22,,,
SWEET_037,cookies,Cookies,,baked,,1.0,,,1.0,,,350:10,,,
SWEET_038,cookies,Cookies,,baked,,1.0,,,1.0,,,350:10,,,
SWEET_039,shortbread,Shortbread,,baked,,1.0,,,1.0,,,325:21,,,
CRUST_004,crust,Crust,rolled,raw,1.00,1.0,,,1.0,,,,,,
SWEET_022,cake,Cake,batter,baked,,1.0,,,1.0,,,350:35,,,
SWEET_022,topping,Topping,combined,baked,,1.0,,,1.0,,moderate_fruit,350:35,,,
SWEET_026,crust,Crust,,baked,,1.0,,,1.0,,crumb_crust,325:65,,,
SWEET_026,filling,Filling,,baked,,1.0,,,1.0,,,325:65,,,
