Variable,Description,,,
Food code,Unique 8-digit identification number,,,
Main food description,Primary description for a food code,,,
WWEIA Category number,Unique 4-digit identification number,,,
WWEIA Category description,Description for a WWEIA category,,,
Seq num,Number for ordering ingredient codes,,,
Ingredient code,NDB number or FNDDS food code,,,
Ingredient description,Description of NDB number or FNDDS food code,,,
Ingredient weight,Edible portion in grams (g),,,
Retention code* ,Retention factor identification code,,,
Moisture change,Percentage moisture change of total weight,,,
,,,,
* USDA Table of Nutrient Retention Factors ,,,,
https://www.ars.usda.gov/ARSUserFiles/80400530/pdf/retn06.pdf,,,,
